lang;mlan;nature
;;GD,ND
;;mf,ND
;;GD,ND
;;mf,ND
;;GD,ND
;;mf,ND
;;GD,ND
;;mf,ND
;;GD,ND
;;mf,GD
;;GD,ND
;;GD,ND
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;sg
;;pl
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;sg
;;sg
;;sg
;;sg
;;sg
;;pl
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;sg
;;pl
;;m
;;f
;;m
;;sg
;;
< n="inf"/>;;
il;a;prn,tn,p3,m,sg
personne;ot;n,f
homme;ot;n,m
humanité;odo;n,m
femme;ininga;n,f
beaucoup;abui;n,n
à;a;pr
ventre;abum;n,m
pied;abò;n,m
autre;afë;n,m
malgré;afi;pr
village;al;n,m
médicament;aǹ;n,m
mer;aǹ;n,m
comme;anë;adv
horreur;angondo;n,f
ulcère;atòm;m
camaraderie;avus;n,f
garder;baala;vblex
tambour;ba;n,m
porte;bè;n,f
manger;di;vblex
encore;badë;vblex
gronder;bam;vblex
beaucoup;abui;adv
village;al;n,m
comme;anë;adv
horreur;angondo;n,f
médicament;aǹ;n,m
son frère;anyaǹ;n,m
don;as;n,f
pour;asu;cnjcoo
ventre;bum;n,m
pied;abò;n,m
autre;afë;n,m
médicament;aǹ;n,m
comme;anë;adv
avec;ai;cnjcoo
ulcère;atòm;m
chaleur;ayoǹ;n,f
camaraderie;avus;n,f
garder;baala;inf
encore;badë;vblex
malchance;badëlòg;n,f
sarcler;bal;vblex
gronder;bam;vblex
appuyer sur;ban;vblex
invitation;banda;n,m
noyau;baǹ;n,m
caillot;baǹ;n,m
fagot;baǹ;n,m
nageoire caudale;bas;n,m
mal;be;n,m
près de;bebe;adv
soulever;bede;vblex
déposer;bede;vblex
recommander;bende;vblex
fait d'annoncer;bendan;n,m
monter;bèd;vblex
dépecer;bè;vblex
sein;bè;n,m
cuisse;bè;n,f
regarder;bëbë;vblex
supplanter;bëdan;vblex
cadet;bëdan;n,m
partitionner;bëg;vblex
porter;bëgë;vblex
cafardage;bëgëlë;vblex
attiser le feu;bëgëlë;vblex
charge;bëgë;n,f
vérité;bëbëla;n,f
utiliser;bëlan;vblex
dire vrai;bëlë;vblex
enfoncer;bëm;vblex
cagibi;bëm;n,m
prévenir;bëme;vblex
convenable;bëmbë;n,f
naître;biali;vblex
excrément;bi;n,m
preneur;bi;n,m
végétation anarchique;bifëfè;n,f
donner naissance;bie;vblex
géniteur;bie;n,f
dépister;big;vblex
s'enrichir;big;vblex
urticaire;big;n,m
naître;biali;vblex
naissance;biali;n,m
course;bil;n,m
être contaminé;bili;vblex
être saoule;bili;vblex
enfler;bim;vblex
pénis;bin;n,m
dénicher;bindi;vblex
photographier;bisi;vblex
tenir compte de;bisi;vblex
entrelacer;bit;vblex
grossier;bob;n,m
araignée;bobo;n,m
casser;boe;vblex
bûcher;bog;vblex
fête;bog;n,m
battre;bom;vblex
tumulus;bom;n,m
entourer;boman;vblex
rhume;boman;n,m
contour;bomanë;n,m
fondateur;bonde;n,m
fonder;bonde;refl,inf
se faire;bòban;refl,inf
faire;bò;vblex
artisan;bò;n,m
se mouiller;bòd;vblex
recadrer;bòd;vblex
petitesse;bòd;n,f
cabine d'habillage;bòd;n,f
accoutrement;bòd;n,f
pétrir;bòdan;vblex
bénédiction;bòdan;n,f
attester;bòòlò;vblex
témoin;bòòlò;n,m
un;bòg;n,f
morve;bòm;n,f
câblage;bonga;n,m
huile;bòn;n,f
année;bu;n,m
touffe;bu;n,f
calamité;bubua;n,f
couvrir;budi;vblex
casser;bug;vblex
prospérer;bugëban;vblex
prospérité;bugëban;n,f
être cassé;bugi;vblex
braiser;bum;vblex
cabosse;buma;n,f
se précipiter;bumulan;vblex
pourrir;bwal;vblex
faire pourrir;bwali;vblex
casser;bwe;vblex
enfanter;bye;vblex
dépasser;daǹ;vblex
surtout;daǹdaǹ;adv
se manger mutuellement;dian;vblex
fermer;dib;vblex
se fermer;diban;vblex
dissimuler;dibidi;vblex
calciner;digi;vblex
se ronger;diiban;vblex
effacer;dim;vblex
cécité;dim;n,f
camouffler;dimi;vblex
cachoterie;dimiǹ;n,f
surtout;dò;cnjcoo
voracité;dòg;n,f
profondeur;dòg;n,m
hôpital;dòbëdò;n,m
tremper;du;vblex
attirer;dudu;vblex
mentir;dug;vblex
marche;dulu;n,f
dépérir;duǹ;vblex
danser;dzëm;vblex
manquer;dzëman;vblex
dribbler;dzëmëlë;vblex
chercher;dzëǹ;vblex
voler;dzib;vblex
un certain;dzin;n,f
dire;dzo;vblex
membre du corps;dzo;n,m
canton;dzogodo;n,m
dirigeant;dzoe;n,f
pardonner;dzu;vblex
se faire mal;dzug;vblex
avoir l'habitude de;dzugu;vblex
sa tante paternelle;esanga;n,f
son père;esia;n,m
ton père;esoa;n,m
peut-être;evueziǹ;adv
dignité;edzidzin;n,f
peau;ekob;n,f
s'etonner;yëgan;vblex
stupéfaction;yëgan;n,m
examiner;yomëlo;vblex
creuser;fag;vblex
forêt;fan;n,m
analyse;fas;n,m
se faire examiner;fasëban;vblex
autre;fë;adjind
aussi;fë;adv
sonder;fëb;vblex
papier;fëb;n,m
vapeur;fëb;n,m
sagesse;fëg;n,f
végétation hanarchique;fëfè;n,f
cicatrice;fël;n,f
détester;fëm;vblex
avocat;fia;n,m
s'épaissir;fib;vblex
épaisseur;fib;n,f
écraser;fid;vblex
compter sur;fidi;vblex
oreiller;fila;n,m
être mobile;fog;vblex
place;fola;n,f
moelle;fòǹ;n,f
aussi;fòò;adv
être propre;fub;vblex
purifier;fubu;vblex
ressembler à;fulan;vblex
ressemblance;fulan;n,f
caractère;fulu;n,m
se multiplier;fwe;vblex
reproducteur;fwe;n,m
entier;guma;n,m
femme;ininga;n,f
assistant;ka;n,f
crabe;kada;n,f
dire;kad;vblex
souvent;kadë;adv
empiler;kag;vblex
plaidoyer;kal;n,m
transmettre;kalan;vblex
pétrole;kalasina;n,m
odeur de roussi;kan;n,m
diminuer;kandi;vblex
s'abstenir;ki;vblex
oeuf;ki;n,m
fer;kie;n,m
feuille;kie;n,f
ne...pas;kig;adv
refuser;kil;vblex
serve;kil;n,f
tourner;kilan;vblex
interdire à;kili;vblex
fluidité;kim;n,f
suspendre;kele;vblex
circoncier;kele;vblex
circoncision;kele;n,f
se rompre;këlan;vblex
grignotter;kende;vblex
partir;kë;vblex
abcès;kël;n,m
intelligence;këǹ;n,f
technique;këǹ;n,f
matin;kidi;n,m
entasser;koan;vblex
vendre;kuan;vblex
réunion;koan;n,f
pierre;koa;n,f
puce;kob;n,m
teigne;kod;n,f
quitter;kodo;vblex
pierre;kog;n,f
fabriquer;kom;vblex
fabriquant;komo;n,m
fantôme;kon;n,m
réunion;koan;n,f
parler;kòbò;vblex
tourner;kòd;vblex
pied;kol;n,f
piéger;koli;n,f
mordre;koge;vblex
ajouter;kogo;vblex
ajouter;kogolo;vblex
acceptation;kòbò;n,m
longtemps;kòm;adv
habitude;kòm;n,f
lourdeur;kòm;n,f
maladie;kòn;n,f
être malade;kòn;vblex
tatouer;kpëlë;vblex
se faire vacciner;kpëlëban;vblex
cellulite;kpëlëmve;f
tomber;ku;vblex
tousser;kue;vblex
toux;kue;n,f
cuisinier;kugu;n,m
chef;kukuma;n,m
se détacher;kulan;vblex
se faire détacher;kuliban;vblex
tortue;kulu;n,f
tornade;kulu;n,f
poubelle;kun;n,f
acheter;kus;vblex
achat;kus;n,m
veuvage;kus;n,f
veuve;kus;n,f
cueillir;kwe;vblex
escargot;kwe;n,m
sortir;kwi;vblex
sortie;kwi;n,m
type;kya;n,m
montrer;lëdë;vblex
microscope;lëmbë;n,m
guetter;lëmbë;vblex
cadeau;labi;n,m
coudre;lad;vblex
être collé à;lada;vblex
bourru;lamvomba;n,m
lire;laǹ;vblex
palmier;len;n,m
puiser;lè;vblex
durcir;lèd;vblex
dureté;lèd;n,m
ruisseler;lèn;vblex
infection due à une morsure d'araignée;lèna;n,f
défricher;li;vblex
dépasser;lod;vblex
mordre;lob;vblex
seneçon;lob;n,m
pêche au barrage;log;n,f
faire la pêche au barrage;log;vblex
oreille;lò;n,f
marécage;lòbi;n,m
herbe;lòg;n,f
célébrer;lòm;vblex
tête;lo;n,f
piquer;lum;vblex
injecter;luman;vblex
association;lunga;n,f
mouleur;ma;n,f
tas;mag;n,m
terminer;manë;vblex
tambour;mba;n,m
sang;meki;n,m
journée;mos;n,f
particule;mvum;n,f
mensonge;nal;n,m
membre supérieur du corps;nam;n,m
toucher;namba;vblex
maison;nda;n,f
espoir;ndi;n,m
rapport;ndòǹ;n,f
eau;ndim;n,f
pitié;ngogòl;n,f
ngomba;ngomba;n,m
cadenas;ngoǹ;n,m
se braquer;ngan;vblex
obstiné;ngan;n,m
marais;ngas;n,m
clair;ngëng;adv
insecte;ngëngè;n,f
soir;ngoge;n,m
tas;ngos;n,m
force;ngul;n,f
cabane;ngula;n,f
entasser;ngun;vblex
accumuler;ngunubu;vblex
prendre;nòǹ;vblex
calamiteux;nyama;n,f
vivre;nyiǹ;vblex
vie;nyiǹ;n,m
bouche;nyu;n,f
sentir;nyum;vblex
odeur;nyum;n,m
nombril;oap;n,m
rire;oe;n,m
articulation;ooga;n,f
rejeton;òǹòn;n,f
maladie;kòn;n,f
maçon;mawòd;n,m
voiture;mëtua;n,m
pratique médicale;mvigi;n,m
enflure;mvim;n,m
digue;myëgë;n,m
hôte;nëǹ;n,f
male;nom;n,f
beau-frère;nyala;n,f
ciel;op;n,m
enfant;òngò;n,m
calamité;òngò;n,m
caniveau;salag;n,m
tisane;sanga;n,f
échantillon;sëdëga;n,m
cour;sëǹ;n,m
péché;sëm;n,m
terre;si;n,f
cabinet;sie;n,m
nerf;sis;n,m
question;sili;n,m
être venu;sò;vblex
cachette;sò;n,f
savon;sòbò;n,m
se cacher;sòbò;vblex
cache;sòbò;n,m
cachette;sòlò;n,f
cachette;soe;n,f
lézard;soe;n,f
calao;soga;n,m
medisance;sòs;n,m
pluie diluvienne;susu;n,f
humidité;susud;n,m
pareusseux;susug;n,m
puits;tam;n,m
père;tada;n,m
tailleur;tela;n,m
être douloureux;tè;vblex
faiblesse;tëg;f
seigneur;ti;n,f
souche;tin;n,f
encre;tinte;n,f
s'aggraver;tog;vblex
cuillère;tog;n,m
colis;tom;n,f
place;tò;n,m
ulcère de Buruli;tòm;f
papule;tolog;f
bouton;tsaǹ;n,f
frotter;tug;vblex
action de frotter;tug;n,m
désuétude;tug;n,m
être en train de frotter;tugu;vblex
frotteur;tugu"n"/>;n,m
causer une lésion;tugulu;vblex
lésion;tugulu;n,m
partie;tun;n,m
taquinerie;tye;n,m
amas;vis;n,m
soif;vè;n,m
os;vès;n,m
respirer;vëbë;vblex
respiration;vëbë;n,m
exemple;vëga;n,m
plaie;vëǹ;n,f
rapidité;vol;n,f
graisse;vòǹ;f
autre;vòg;adjind
se muer;weme;vblex
nécrose;wemënga;n,f
fenêtre;wundi;n,m
scintiller;gëban;vblex
main;wò;n,f
marcheur;wulu;n,m
grandir;ya;vblex
longueur;yab;n,f
enveloppe;yalga;n,f
couleur;yaǹ;n,f
bulbe;yaǹ;n,f
période;ye;n,m
acceptation;yëbë;n,m
apprentissage;yëgè;n,m
handicape;yëm;n,f
savoir;yëm;vblex
croître;yè;vblex
croissance;yè;n,f
être coincé;yëm;vblex
vouloir;yi;vblex
ulcère phagédénique;yia;n,f
difficulté;yie;n,f
ta mère;yoa;n,f
amertume;yol;n,f
vieillesse;yom;n,f
caducité;yom;n,f
temps;yòǹ;n,m
raviver;yomëlo;vblex
pleur;yon;n,m
chaleur;yoǹ;f
Dieu;Zamba;n,m
lèpre;zam;n,f
cafouillage;zamëda;n,m
faim;zie;n,f
soldats;zimbi;n,m
un tel;ziǹ;adjind
faire;bò;vblex
donner;vë;vblex
plaie;vëǹ;f
déranger;ve<b/>endëgële;vblex
chaleur;voǹ;f
ennui;ndëgëlë;n,m
mon;ama;det,pos
mon;ama;det,pos
mon;ama;det,pos
mon;ama;det,pos
mon;ama;det,pos
mon;ama;det,pos
;;sent
