lang;mlan;nature
;ɑ̂;
et;bô;cnjcoo
dans;ntʉ̂m;pr
avec;bô;pr
commerce;ta;n,m
nuit;twəʼ;n,f
histoire;cɔ̀;n,f
orange;bùma;n,f
histoire;cò;n,f
nourriture;caŋ;n,f
singe;ngɑm<b/>mɑkè;n,m
abolition;nə̀<b/>biagə;n,f
chien<b/>sauvage;mbʉ̂<b/>cwɛd;n,m
chat;bùsi;n,m
poison;ngǒnntsə;n,m
champ;cwɛd;n,m
palais;ncwɛ̀d;n,m
prison;ndɑ̂<b/>ca;n,f
habille;nzwə;n,m
paraisseu;lɔ;n,f
savoire;nə̀<b/>lɛ̀nə;n,m
sagesse;zə̂nù;n,f
radio;mfoŋə;n,f
téléphone;kɑb;n,m
rène;nzwî<b/>mfə̀n;n,f
cartable;bɑ̂m<b/>ŋwàʼnì;n,GD
bébé;mɛ̂n<b/>fi;n,m,sg
bateau;la<b/>nstə<b/>baʼ;n,m,sg
chien;mbwə;n,m
avion;saŋvʉ̀;n,m
maison;baʼ;n,f
fille;ngòn;n,f
livre;buʼ<b/>ŋwàʼnì;n,m
tête;tu;n,f
oursin;nyɑm<b/>ntsə;n,GD,sg
commerce;ta;n,m,sg
union;tàmtə̀;n,f,sg
nuit;twəʼ;f,sg
personnes;bə̀nntʉ̀n;n,f,pl
maitre;ngà<b/>tswìtə̀;n,m,sg
maitre;ghâ<b/>tswìtə̀;n,m,pl
marché;ntɑnə;n,m,sg
boutique;ndɑ̂<b/>ntɑnə;n,f,sg
nom;lɛn;n,f
ordinateur;lôŋvʉ̀;n,m
voiture;yanbàʼ;n,f
école<b/>de<b/>conduite;dʉ̂ʼ<b/>ŋwàʼnǐ<b/>sòŋ;n,f
singe;ngɑm<b/>mɑkè;n,m
abolition;biagə;n,f
chien<b/>sauvage;mbʉ̂<b/>cwɛd;n,m
poison;ngǒnntsə;n,m
chaussure;nkətoʼo;n,f
mauvais/e;kə̀bwɔ̀;n,GD
bien;mə̀bwɔ;n,m
paraisseu;ndɔ;n,f
habitude;màd;n,f
savoire;lɛ̀nə;n,m
sagesse;zə̂nù;n,f
arrachide;kə̀nà;n,f
television;ngʉɑyən;n,f
horloge;nyàm;n,f
roi;mfə̀n;n,m
rène;nzwî<b/>mfə̀n;n,f
sac;bɑ̀m;n,m
cartable;bɑ̂m<b/>ŋwàʼnì;n,GD
bébé;mɛ̂n<b/>fi;n,m,sg
nurriture;caŋ;n,f,sg
bateau;la<b/>nstə<b/>baʼ;n,m,sg
ocean;dibɑ<b/>ntsə;n,n
